linha_na_planilha_original,estudo_id,chave,nome_no_estudo,descricao,marcado_como_php_na_extracao,grupo_de_sinonimos,categoria,no_catalogo,n_no_catalogo,nome_no_catalogo,especificidade,decisao,observacoes
203,S09,soltanifar_2016,Otimização,Problemas que afetam o desempenho do código.,Sim,Otimização,Outros,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
204,S09,soltanifar_2016,Diretrizes de segurança do código,Violações de boas práticas relacionadas à segurança.,Sim,Diretrizes de segurança do código,Outros,Não,,,,"fora do catálogo: CS do Projeto 1 (Java, PMD) de Soltanifar, confirmado no artigo original, Seções 3.1 e 3.3 (24/09/2026)","A planilha de extração marcou como específico de PHP, mas o artigo mostra que vem da análise com PMD do projeto Java."
205,S09,soltanifar_2016,Ausência de ponto e vírgula,Problema em JavaScript onde faltam pontos e vírgulas.,Sim,Ausência de ponto e vírgula (JavaScript),Estilo,Não,,,,remover: problema de JavaScript,A própria planilha descreve como problema de JavaScript.
206,S09,soltanifar_2016,Tags de parâmetro mal agrupadas,"Tags de documentação agrupadas junto das tags @param, sem a separação exigida pelo padrão de codificação (mensagem do PHPCS: ""Tag cannot be grouped with parameter tags""). É o CS mais frequente do projeto PHP do estudo.",Sim,Poorly Grouped Parameter Tags,Documentação,Sim,32,Poorly Grouped Parameter Tags,P,ok (24/09/2026),"Descrição reescrita a partir do artigo original, Seção 3.3 (24/09/2026)."
207,S09,soltanifar_2016,Falta de comentários de função,Funções sem comentários de documentação.,Sim,Missing Function Comments,Documentação,Sim,30,Missing Function Comments,P,ok (24/09/2026),
208,S09,soltanifar_2016,Falta de tag @return em comentários,Falta de descrição de retorno nos comentários de função.,Sim,Missing @Return Tag in Comments,Documentação,Sim,31,Missing @Return Tag in Comments,P,ok (24/09/2026),
209,S09,soltanifar_2016,Espaçamento incorreto após vírgulas,Problema de estilo de código onde não há espaço após vírgulas.,Sim,Incorrect Spacing After Commas,Estilo,Sim,36,Incorrect Spacing After Commas,P,ok (24/09/2026),
210,S09,soltanifar_2016,Parênteses de funções em múltiplas linhas,Uso inadequado de parênteses em funções de múltiplas linhas.,Sim,Functions Parentheses on Multiple Lines,Estilo,Sim,37,Functions Parentheses on Multiple Lines,P,ok (24/09/2026),
211,S09,soltanifar_2016,Uso de comentários de estilo /**,Requisitos de usar um estilo específico de comentário.,Sim,Comment Style (/**),Documentação,Sim,33,Comment Style (/**),P,ok (24/09/2026),
,S09,soltanifar_2016,Missing parameter name,Tag @param sem o nome do parâmetro no comentário de documentação.,Sim,Missing Parameter Name,Documentação,Sim,34,Missing Parameter Name,P,"ok (24/09/2026): acréscimo a partir do artigo original, Seção 3.3 (lista do Projeto 2, PHPCS); não constava da planilha de extração",
,S09,soltanifar_2016,There must be exactly one blank line before,Quantidade incorreta de linhas em branco antes das tags no comentário de documentação.,Sim,Blank Line Before Tags,Estilo,Sim,38,Blank Line Before Tags,P,"ok (24/09/2026): acréscimo a partir do artigo original, Seção 3.3 (lista do Projeto 2, PHPCS); não constava da planilha de extração",
,S09,soltanifar_2016,Opening brace should be on a new line,Chave de abertura fora da linha exigida pelo padrão de codificação.,Sim,Brace Placement Rules,Estilo,Sim,35,Brace Placement Rules,P,"ok (24/09/2026): acréscimo a partir do artigo original, Seção 3.3 (lista do Projeto 2, PHPCS); não constava da planilha de extração",
212,S04,yamashita_moonen_2013,Data Class,"Classes que contêm apenas campos e métodos de acesso (getters e setters), sem implementar funcionalidades específicas.",Não,Data Class,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
213,S04,yamashita_moonen_2013,Data Clumps,"Conjuntos de dados que aparecem sempre juntos, dentro de uma classe ou entre classes.",Não,Data Clumps,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
214,S04,yamashita_moonen_2013,Duplicated Code in Conditional Branches,Código com estrutura semelhante ou idêntica em diferentes ramos de uma condição.,Não,Duplicated Code in Conditional Branches,Duplicação,Não,,,,fora do catálogo: estudo não é de PHP,
215,S04,yamashita_moonen_2013,Feature Envy,Um método que demonstra mais interesse em dados de outra classe do que da própria classe em que está. É recomendável mover esse método para a classe que contém a maioria dos dados que ele usa.,Não,Feature Envy,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
216,S04,yamashita_moonen_2013,God (Large) Class,Uma classe que centraliza muitas responsabilidades em relação às classes com as quais está acoplada. Viola o princípio de decomposição e dificulta a manutenção.,Não,God Class / Blob,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
217,S04,yamashita_moonen_2013,God (Long) Method,"Um método que é muito extenso comparado aos outros métodos da mesma classe, centralizando grande parte da funcionalidade da classe.",Não,Excessive Method Length,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
218,S04,yamashita_moonen_2013,Misplaced Class,"Classes que, em pacotes “God”, precisam mais de outras classes de pacotes diferentes do que de classes de seu próprio pacote.",Não,Misplaced Class,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
219,S04,yamashita_moonen_2013,Refused Bequest,Subclasses que não desejam ou não precisam de tudo que herdaram da classe pai.,Não,Refused Bequest,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
220,S04,yamashita_moonen_2013,Shotgun Surgery,Uma mudança em uma classe que exige várias pequenas mudanças em diversas outras classes.,Não,Shotgun Surgery,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
221,S04,yamashita_moonen_2013,Temporary Variable for Various Purposes,"Variáveis temporárias que são usadas em diferentes contextos, o que pode levar a confusão e a introdução de erros.",Não,Temporary Variable Used for Several Purposes,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
222,S04,yamashita_moonen_2013,Use Interface Instead of Implementation,"Idealmente, deve-se evitar casting de classes para implementações específicas, definindo e implementando uma interface no lugar.",Não,Use Interface Instead of Implementation,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
223,S04,yamashita_moonen_2013,Interface Segregation Principle (ISP) Violation,"A dependência de uma classe em relação a outra deve ser com a menor interface possível. Clientes não devem ser forçados a depender de métodos que não usam, pois isso cria acoplamento.",Não,Interface Segregation Principle Violation,Herança e acoplamento,Não,,,,fora do catálogo: estudo não é de PHP,
224,S02,gauthier_merlo_2013,Implicitly Granted Privileges,"Um privilégio é concedido implicitamente junto com outro: rotinas protegidas por um privilégio executam operações que exigiriam outro, sem verificá-lo (ex.: no Moodle, rotinas protegidas por lesson:edit também fazem operações de lesson:manage).",Sim,Implicitly Granted Privileges,PHP/web,Sim,3,Implicitly Granted Privileges,W,ok (24/09/2026),"Descrição reescrita a partir do artigo original, Seção V (24/09/2026)."
225,S02,gauthier_merlo_2013,Semantically Related Privileges,"Privilégios com a mesma semântica duplicados para cada componente (ex.: 82 privilégios de visualização no Moodle), o que acopla privilégios a componentes e faz o número de privilégios crescer com o sistema.",Sim,Semantically Related Privileges,PHP/web,Sim,4,Semantically Related Privileges,W,ok (24/09/2026),"Descrição reescrita a partir do artigo original, Seção V (24/09/2026)."
